page,headword_khowar,transliteration,part_of_speech,english_gloss,example_no,example_khowar,example_english,
17,پینگاچھوَےُ,pingačhúy,adv; n,tomorrow,1,پینگا چھوے غاڑ شیر۔,Tomorrow afternoon there is a polo match.,
17,پھال,phal,n,plowshare,1,پھال بوہتی ݯوکی چھیتی بغاے۔,The plowshare struck on a rock and broke.,
17,پھان,phan,n,palm of hand,1,کورم کوری پھان کوش ہونی۔,Because of working hard his/her/my palms became blistered.,
17,پھتوک,phatúk,n,eyelashes,1,پھتوک اشپیرو ہونی۔,His/her/your/my eyelashes turned white.,
17,پھروال,phirwál,n,shalwar,1,پھروالو پو اتروݯی شیر۔,The cuff of the shalwar is torn.,
17,پھکوڑ,phakóɫ,n,Chitrali hat,1,مہ پھکوڑو گان اواے۔,The wind took my hat.,
17,پھنیک,phuník,vt,to blow up into the air; to winnow,1,گان ہیمو پھنیران۔,The wind is blowing the snow up into the air.,
17,پھنیک,phuník,vt,to blow up into the air; to winnow,2,دیہقان گومو پلالو پھنیران۔,The farmer is winnowing the stack of threshed wheat.,
18,پھوخ,phox,adj,"soft, loose",1,پشور جم پھوخ بیتی شیر۔,The meat has become nice and soft.,
18,پھوخ,phox,adj,"soft, loose",2,لین پھوخ بیتی شیر۔,The knot has become loose.,
18,پھور,phur,n,"peak, top; head hair",1,تونیݰو زومو پھورا بی ہال ہوے۔,The ibex went to the mountain top and stayed there.,
18,پھوردو,phordú,n,"plant, sapling",1,پھوردو ݯوکی شینی۔,The plants have taken root.,
18,پھوست,phost,n,"skin, hide",1,پھوست بوٹ لین نو بویان۔,Leather shoes are not to be found.,
18,پھوَک,phuk,adj,"small; n small child, fine straw that flies away during threshing; adv a little",1,پھوک کہ ہوے دی گانیسا؟,"Even if there is only a little, will you take it?",
18,پھولوک,pholók,n,"grain, drop ; adj a single",1,کہاکان تے پھولوک دراوے۔,Give grain to the hens.,
18,پھونیک,phoník,vi,to dance,1,پھونیک نو بیتی شومو بہانہ۔,He who doesn't know how to dance blames the dancing floor. ,
18,پھوََئَیک,phuík,vi,to blow,1,ݯھوتیو گان پھوئی اواے۔,The wind blew away the soil.,
18,پھوََئَیک,phuík,vi,to blow,2,ژؤو پھوئی پازگاہ کورے۔,Blow the grain and clean it.,
18,پھی,phi,n,wooden shovel used for winnowing or snow removal,1,پھیو سورا ہیم شیپینی۔,Remove snow with a snow shovel.,
18,پھیرو,phéru,n,ashes,1,دار پولوئی پھیرو ہوے۔,The wood burned and became ashes.,
18,پھیک,phik,adj,"quiet, silent",1,پھیک بیتی کیانی بوسان؟,Why are you sitting so quietly?,
19,تاری,tarí,n,sugar; speed,1,پروشٹی زمانا تاری لیک گیران بیراے۔,It was difficult to obtain sugar in the old days.,
19,تاڑ,taɫ,n,key,1,تاڑ تونج ہونی۔,The keys are lost.,
19,تزَہَتازہ,tazá,adj,"healthy, in good condition, okay",1,تزہ بیتی کسیران۔,"Having recovered, he/she is walking.",
19,تائم,taám,n,"rich food, dishes, feast",1,کیہ تائم کوری اسومی!,What rich food you have cooked!,
19,تاو,taʋ,n,"cooking iron, griddle; adj steep (of mountain)",1,تاو نو پیڅھی اسونی۔,They haven't yet put the cooking iron in place.,
19,تاے,tay,n,children's toy,1,تاے تاے کوری ڈقو اشٹوکاوے۔,"Play with the child by saying ""tay, tay"".",
19,تت,tat,n,father,1,نن توݰو کین تت یوزو کین۔,A mother is the shelter of a heap of straw; a father is a block of ice.,
19,تݯ,tic̣,n,male goat (over four years old),1,ژاو اژیکو تݯ کݰی ژیری اریر۔,"When his son was born, he slaughtered a goat and held a celebration feast.",
19,ترانگ,trang,adj,"tight ; n saddle girth, cinch",1,ترانگ زپ مہ دش۔,I don't like tight clothes.,
19,ترَق,traq,n,"crack, crevice, crevasse",1,کھانج بولموژیہ ترق بغاے۔,The wall cracked in the earthquake.,
19,ترَق,traq,n,"crack, crevice, crevasse",2,تروپ شوروؤتے بزارا گونی۔,Radishes come into the market in autumn.,
19,ترَق,traq,n,"crack, crevice, crevasse",3,ٹھوشتہ ٹپ ترین ۔ ترینو تروپ پین۔,The wooden dish is full of yogurt; the yogurt is too salty.,
20,تروق,troq,adj,bitter,1,تروق ژوڑی مہ اݰکامو ݯھمیتاے۔,The bitter apricot gave me a stomach ache.,
20,تروَے,troy,adj,three,1,تروے ژون ژیبونیان۔,Three people are eating.,
20,ترین,trin,n,"buttermilk, yogurt",1,شوت ترین نو ژیبوم۔,I don't eat sour yogurt.,
20,تݰ,tuṣ,n,straw,1,تݰو گان اواے۔,Wind took the straw away.,
20,تف,taf,n,heat,1,تف کوریکو ڈق بوغاو اوغو اتینیان۔,"When they feel hot, boys go and get in the water.",
20,تک,tak,n,1) odd number; (2) decorated buttons pinned on chogha; (3) secret gift from a man to a woman,1,تائیت کوراک تک ݰواے مݰکیتاے۔,The amulet maker asked for an odd number of beads.,
20,تو,tu,pron,you (singular),1,تو دی گوسانا؟,Do you also want to come?,
20,توََپ,tup,n,cannon,1,نوغورا مینو گیکو توپ پیڅھاک بیرانی۔,When guests came to the fort people would fire cannons.,
20,توخمیران,toxmirán,n,father of son-in-law or daughter-in-law,1,مہ توخمیران بو جم موش۔,The father of my son/daughter-in-law is a very good man.,
20,توری,tóri,adv; adj,"up, upper, above",1,توری دورتو بی اسور۔,He/she has gone to the upper house.,
20,توریک,torík,vi,"to reach, arrive at (place); to touch, hit (target); to ripen (crop)",1,شامہ پت یی نو توریتاے۔,He/she didn't reach here by evening.,
20,توریک,torík,vi,"to reach, arrive at (place); to touch, hit (target); to ripen (crop)",2,تھوئیک نو توریتاے۔,The bullet didn't hit.,
20,توریک,torík,vi,"to reach, arrive at (place); to touch, hit (target); to ripen (crop)",3,گوم توریتاے۔,The wheat has ripened.,
20,توق,toq,n,mud,1,بوݰیکو سخت توق ہوے۔,When it rained it became very muddy.,
20,تونجیئک,tonjéik,vt,"to lose; to ruin, spoil",1,دوݰ اوا تن گڑیو تونجیتام۔,Yesterday I lost my watch.,
21,تونیݱو,toníṣu,n,ibex,1,تونیݰو ݱنگ زوما ہال بونی۔,Ibexes live on high mountains.,
21,تیغ,teγ,adj,"sharp (knife), steep (mountain ridge)",1,تیغ دہار اگان مہ لوݰیتاے۔,On the steep ridge the wind tormented me.,
21,تھاغ,thaγ,n,relatively thin) tree branch,1,تیز گانہ مرݯھو تھاغ نݰپوڑیتانی۔,In the strong wind branches of the mulberry tree split off.,
21,تھرار,tharár,adj,"intelligent, clever",1,تھرار روے کورم ہوݰ کوے۔,An intelligent person understands how to work.,
21,تھریشٹو,threšṭú,n,onion,1,تھر یشٹو پولوئیتانی۔,The onions dried up.,
21,تھڑخہ,thaɫxá,n,gall bladder,1,تھڑخو پھت کوریکو پشور تروق بوے۔,"If one breaks the gall bladder, meat becomes bitter.",
21,تھڑخہ,thaɫxá,n,gall bladder,2,لش - کوئی تھڑخائی دوس۔,"Be careful, lest you hit the gall bladder.",
21,تھڑخہ,thaɫxá,n,gall bladder,3,اݰکیئین تھڑخہ اوخوئی اوبریتاے۔,Its gall bladder swelled up from cold and it died.,
21,تھس,thas,n,water container with spout,1,تھسہ پیݯ اوغ متے انگیے۔,Bring me a pitcher of warm water.,
21,تھفَہ,thafá,adv,"quite, very",1,تیز گیتی تھفہ جم ارو۔,You did very well to come quickly.,
21,تھل,thul,adj,"fat (animal, human); thick (inanimate object, e.g. piece of wood)",1,حیوان ہیٹہ تھل بونی۔,Animals get fat when they graze free.,
21,تھلاخ,thuláx,n,sickle,1,تھلاخ مہ چموٹی پراے۔,The sickle hit and cut my finger.,
22,تھلیئک,thuléik,vt,to fatten,1,لیشو تھلَیئکو نو بیتاو۔,You weren't able to fatten your cow.,
22,تھمالوق,thamalúq,n,"fondness, doting, pet",1,پوشیو کیہ تھمالوق کوری اسوس۔,What a pet you have made of your cat.,
22,تھمامو,thamámu,adj,many,1,تھمامو روے غیچی گونیان۔,Many people are visible.,
22,تھمیز,thamíz,n,"courtesy, decency, good behavior",1,مینوان سوم جم تھمیز اریر۔,He/she behaved very courteously with the guests.,
22,تھون,thun,adj,"physically) active, emotional, volatile",1,لوڑی تھون ریݰوؤ گنے۔,Look carefully and select an active bull.,
22,تھون,thun,adj,"physically) active, emotional, volatile",2,تت تن ژاووتے تھون ہوے۔,The father spoke to his son emotionally.,
22,تھونک,thonk,adj,"thin (of flat or shallow things, e.g. paper, cloth)",1,تھونک کغاذ مت دیت۔,Give me a piece of thin paper.,
22,تھوہت,thuht,n,ford (of river),1,تَھوہت دیکو بہتوئیتام۔,I feared entering the ford.,
22,تھوہت,thuht,n,ford (of river),2,تھوہتی دیتی بوہتوئیتام۔,I got frightened when I entered the ford.,
22,تھوئیک,thuík,vi,to spit,1,تھوئیکو بچے دودیری بوغے۔,Go far away to spit.,
22,تھوئیک,thuék,n,gun,1,تھوئیک پیڅیک بند بیتی شیر۔,Firing of guns has been prohibited.,
22,تھیئک,thiík,vi,"to remain/stay quiet, still",1,ڈقانتے تھیئک نوبوے۔,Boys can't stay still.,
22,ٹارا,ṭará,n,mulberry wine/liquor,1,ٹارا تروق بوے۔,Mulberry wine is bitter.,
22,ٹپ,ṭip,adj,"full, full of, in abundance, lots of",1,جنالیہ روے ٹپ بیتی اسونی۔,The ground is full of people.,
23,ٹق,ṭaq,n,"thoughtlessness, haste",1,ٹق کوری لو دیتی تن سورا اوسیتاو۔,By speaking thoughtlessly you have made people laugh at you.,
23,ٹوقھیئک,ṭoqhéik,vi,to cluck (of hen after laying an egg),1,کہاک ٹوقھیران۔,The hen is clucking after laying an egg.,
23,ٹوََن,ṭun,adj,1) tight; (2) full/thick,1,شمینی ٹون بیتی شیر۔,The rope has been tied very tight.,
23,ٹوََن,ṭun,adj,1) tight; (2) full/thick,2,کھوٹ ٹون بیتی شیر۔,The clouds are very thick.,
23,ٹونگ,ṭong,n,pear (tree or fruit),1,ٹونگ نو پوچی شیر۔,The pear is not ripe.,
23,ٹونگ,ṭong,n,pear (tree or fruit),2,ٹونگتو اسیئتاے۔,He/She caused him/her to climb up the pear tree.,Idom
23,ٹونگ,ṭúng,adj,having short ears (of animals),1,اخیرو عمری ٹونگ کیڑی نست نسیر۔,A short-eared sheep may win a race in the last days of life.,
23,ٹیر,ṭir,adj,"in deep sleep, unconscious",1,اوروئی ٹیر بیتی اسور۔,He/she is sleeping very deeply.,
23,ٹیک,ṭek,n,"top, upper/elevated part; elevated platform in interior of traditional Chitrali house",1,جیپو ٹیکہ نشی ہاتام۔,I came sitting on top of the jeep.,
23,ٹیک,ṭek,n,"top, upper/elevated part; elevated platform in interior of traditional Chitrali house",2,اوغ ٹَیکہ اولوئیتاے۔,Water spilled on the elevated platform of the house.,
23,ٹیکُی,ṭíki,n,"round loaf of bread, baked in closed metal vessel",1,ٹیکی امو بیراے۔,The bread is uncooked inside.,
23,ٹھخیئک,ṭhaxéik,vt,"to knock at, hit lightly",1,دواہتہ کاٹھخیران۔,Someone is knocking at the door.,
23,ٹھخیدَیک,ṭhúxi dik,vt,"to doze, nod off",1,ٹھخی دیکو څیقو پوریتانی۔,"When the child began to doze, they put him/her to bed.",
24,ٹھریک,ṭhurík,vt,"to sip, drink",1,ٹھریکو بݰ کاڑی ساوزاوے۔,Make some soup which one can drink.,
24,ٹھریئک,ṭhuréik vt,vc,"to cause to drink/sip, to give to drink/sip",1,اوغ مہ ٹھراوے۔,Give me a sip of water.,
24,ٹھشٹ,ṭhašṭ,n,flat round vessel; basin,1,ٹھشٹہ کیٹوری متے انگیے۔,Bring me some dried mulberries in the basin.,
24,ٹھوربَیک,ṭhor bik,vi,to fall,1,اوا ژویو ٹیکہ ٹھور ہوتام۔,I fell on the bank of the water channel.,
24,ٹھوریئک,ṭhoréik,vt,to cause to fall,1,کھرسیو ٹھوریتام۔,I overturned the chair.,
24,ٹھوس,ṭhos,adj,"of nondescript dull color, i.e. those colors which do not fall clearly within other basic color categories, or mixed colors (e.g. light brown, gray, off- white)",1,ٹھوس زپ ݰاو ناغزی نو بوے۔,Dull-colored clothes do not get dirty quickly.,
24,ٹھون,ṭhun,n,pillar,1,سنجیر ٹھونان سورا ٹھیئور۔,The main roof beam rests on the pillars.,
24,ٹھونگی,ṭhóngi,n,small axe,1,ٹھونگیو سورا دار چھینیمان۔,I am cutting wood with a small axe.,
24,ٹھونگی,ṭhóngi,n,small axe,2,ٹھیسو ٹھاسو کوریکو ہوݰ نو اریتام۔,"When they whispered, I didn't understand.",
24,ٹھیشٹو,ṭhešṭú,n,onion,1,ٹھیشٹو چھیناوا غیچھار اشرو گونی۔,While cutting onions tears come from one's eyes.,
24,ٹھینُگ,ṭhiíng,n,slope,1,ٹھینُگو ڈیل پراے۔,He/she rolled down the slope.,
24,جابجا,jábajá,adj,"unable to move, disabled",1,میہ ݯھومی جابجا بیتیاسور۔,Because of back pain he/she is unable to move.,
24,جایداد,jaydád,n,property,1,جایداد شیروؤ کیہ خاچ۔,One who has property has no problems.,
25,جزیر,jazír,adj,"out of order (machinery), dilapidated",1,مشین جزیر بیتی شیر۔,The machine is out of order.,
25,جست,just,adj,even (numbers); together; joined,1,جست بیتی نشی کیانی بومیان؟,Why are the two of you sitting idle?,
25,جست,just,adj,even (numbers); together; joined,2,جست بیتی بغانی۔,They left together.,
25,جگار,jigár,n,liver; heart; dear one,1,جگار جگار- دگار دگار۔,One's own people are one's own; others are others.,
25,جم,jam,adj,good,1,جم اسوسا؟,How are you?,
25,جمَار,jamár,n,son-in-law,1,جمار دی ژاوو غون۔,A son-in-law is also like a son.,
25,جمعہ,jumá,n,Friday prayer,1,جمعہ ادینین بوے۔,Friday prayers are held on Fridays.,
25,جمیژیرَی,jamežíri,adj,twin,1,جمیژیری اژیلی ستیک گیران۔,It is difficult to raise up twins.,
25,جمَیلی,jaméli,n,"male or female children/ descendents of a male person's sister, father's sister, grandfather's sister, considered as out of the direct line of patrilineal descent",1,جمیلیو خفہ کوریکو ارواہان دش بونی۔,"When one offends a jaméli, the ancestral spirits of the house are offended.",
25,جمَیئک,jaméik,vt,to cause to reconcile; to repair; to spread bedding,1,روے گیتی تیتان جمیتانی۔,People came and got them to reconcile.,
25,جنجال,janjál,n,quarrel,1,جنجال مو کورور۔,Don't quarrel.,
25,جو,ju,adj,two,1,جوروپیا چاے کادویان؟,Who gives tea for two rupees?,
25,جواب,jawáb,n,"answer, reply",1,جواب دیکو لگینی نو غیریتاے۔,His/her tongue did not move to answer.,
26,جواراے,juwaráy,n,maize bread,1,جواراے شیتوؤ سوجم بوے۔,Maize bread is good with buttermilk.,
26,جواری,juwarí,n,"maize, corn",1,جواری پولوئی شیر۔,The maize is dried up.,
26,جوالو,juwálu,n,"both, two people",1,جوالو گونیان۔,Two people are coming.,
26,جوان,juwán,adj,mature; young/youthful,1,ژاو جوان کہ ہوے تتو بچویئر۔,"When a son grows up, he lightens his father's work.",
26,جوََخوََے,juxúy,adj,"of changeable mood, fickle",1,جوخوے روے مہ دش۔,I don't like fickle people.,
26,جور,jur,adj,"together, joined as a pair (of people)",1,جور کوری باشیتانی۔,They sang a duet.,
26,جور,jur,adj,"together, joined as a pair (of people)",2,جوش ای ائیکون کنیتام۔,I bought eleven eggs.,
26,جوشتَوݰ,joštúṣ,n,food/fodder for cattle and goats or sheep,1,جوش توݰ کھل بیتی تکلیف ہوے۔,"Because the fodder for the animals was finished, they were in trouble.",
26,جوشتَوݰ,joštúṣ,n,food/fodder for cattle and goats or sheep,2,جوش ژیبونیان۔,They are eating fodder.,
26,جوشتَوݰ,joštúṣ,n,food/fodder for cattle and goats or sheep,3,جوش روپیہ مݰکیران۔,He/she is asking for ten rupees.,
26,جوݰیک,joṣík,vt,"to consider, judge",1,زارو جوݰی کومورو توغو نو اواے۔,"Considering him old, the girl didn’t marry him.",
26,جوہجو,johjú,adj,twelve,1,جوہجو موش ݰپیکوت ہانی۔,Twelve men came for a meal.,
26,جیپ,jip,n,1) pocket; (2) jeep,1,جیپ بخ بیتی پایسہ تونج بیرو۔,"When my pocket got a hole in it, my money was lost.",
27,ݮنݮالک,j̣anj̣álik,n,bunch of grapes in which only a few are good,1,دروݯھو غروڅ  کیاغ  نو بیراے۔ خالی ݮنݮالک یراے۔,The bunch of grapes wasn’t usable; there were only a few grapes on the stem.,
27,ݮنݮیر,j̣anj̣ér,n,chain,1,رینیو ݮنݮیرا بوتے۔,Fasten the dog on a chain.,
27,چاخر,čáxur,n,spinning wheel,1,واو چاخرا اسور۔,The old woman is at the spinning wheel.,
27,چارشنبہ,čaršambéh,n,Wednesday,1,چارشنبین بوؤک انگونیان۔,They are bringing the bride on Wednesday.,
27,چارہ,čaráh,n,"means, solution, recourse",1,کیہ چارہ نو توری پھیک بیتی ہال ہوے۔,"Not finding any recourse/solution, he/she gave up.",
27,چاڑدَیک,čaɫ dik,vt,to clap,1,سوم ہوست چاڑ کونی۔ ای ہوست چاڑ نو کوے۔,Both hands clap; one hand doesn't clap.,
27,چاڑَی,čáɫi,adj,having (smallpox) scars on the face,1,ای چاڑی موش دی پوشیتام۔,I also saw a man with a pockmarked face.,
27,چاغیز,čaγéz,n,whip,1,چاغیزو پھوستار ساوزینی۔,They make whips of leather.,
27,چاکو,čakú,n,knife,1,چاکو مہ چموٹو پھیرکیتاے۔,The knife cut my finger.,
27,چاے,čay,n,tea,1,چاے نو پی کو بیمیان؟,Why are you leaving without having tea?,
27,چٹی,čaṭí,n; adv,"1) loss; (2) on estimation, without measurement",1,موݰیچو ٹیکا چٹی ہاے۔,There was a loss on the contract for lucerne.,
27,چٹی,čaṭí,n; adv,"1) loss; (2) on estimation, without measurement",2,داران چٹی گانیتام۔,I bought the wood without proper measurement.,
28,چچَیبون,čičibón,n,"sp. of native bird of Chitral, chickadee",1,چچیبون یومونو دی ݯھیترار اہال بونی۔,Chickadees stay in Chitral even in winter.,
28,چدین,čidín,n,metal pot,1,چدینہ ٹپ پختی کورور۔,Cook a pot full of rice.,
28,چشٹ,čašṭ,n,"lunch, midday meal",1,چشٹ ژوتی بوغے۔,Have lunch before you leave.,
28,چق,čaq,n,"inclination, trend, tendency, likelihood, readiness",1,چھویو بوݰیکو چق۔,It is likely to rain tonight.,
28,چلینگی,čilíngi,n,"small bird, sparrow",1,چلینگی اسمانوت تھلپ۔,A sparrow desires the sky.,
28,چمبور,čambór,n,dried apricots,1,چَمبوران چمبوروغ  کوری پیکو مزا کوے۔,"When one makes soup of dried apricots and drinks it, it is very enjoyable.",
28,چماخ,čamáx,n,flint stone,1,ووخیک تان چَماخو اشتیکھیر۔,A person from Wakhan praises his own flint.,
28,چمَچہ,čamčá,n,spoon,1,چمچہ گنی ژیبیکو واہڅی کویان۔,When one eats with a spoon it is convenient/easy.,
28,چملتوخ,čamaltóx,n,slap,1,جو چملتوخ دیکو پھیک ہوے۔,"When he/she was slapped twice, he/she kept quiet.",
28,چموٹ,čamúṭ,n,finger,1,چموٹو ځوخ دیکو ژریغ اریر۔,When a thorn pricked his/her finger he/she shrieked.,
28,چمٹکیر,čumuṭkér,n,young (marriageable) girl,1,تہ ژور چمٹکیر ہویا؟,Has your daughter grown up?,
28,چن,čan,adj,"naked, bare; poor, plain",1,چن بیتی یورا مو نشے۔,Don't sit bare-skinned in the sun.,
28,چنگیک,čangík,vi,"to lie, tell falsehoods",1,چنگیکو پون اسکوردی۔,The road of a lie is short.,
29,چوٹیک,čoṭík,vi,"to drip, leak",1,بوݰیکو ختان چوٹیتاے۔,When it rained the room leaked.,
29,چور,čor,adj,four,1,چور ژون پتی کونیان۔,Four persons are playing cards.,
29,چوڑ,čuɫ,n,braid,1,چوڑ سویکو غوش کرا بویان!,\Where is the time to braid one’s hair?,
29,چوڑیک,čuɫík,vi,"to warble, chirp, twitter, sing (of birds)",1,مایون چوڑیران۔,An oriole is warbling.,
29,چوََمر,čúmur,n,iron (material),1,پیݯ چومری مو دوسے۔,Don't touch the hot iron.,
29,چھاغ,čhaáγ,n,shade,1,چھاغہ نشیکو مہ اݰاَک اریر۔,"On sitting in the shade, I felt cold.",
29,چھانی,čhaní,n,"kid, baby goat",1,چھانی ننو دیران۔,The kid is suckling its mother.,
29,چھت,čhat,n,"pond, lake",1,چھت نݰپوڑیتاے۔,The bank of the pond broke.,
29,چھوچی,čhúči n,adv,"1) morning, (2) tomorrow",1,چھوچی رغیشٹی روپھیتام۔,I got up early in the morning.,
29,چھوچی,čhúči n,adv,"1) morning, (2) tomorrow",2,چھوچی بینیان۔,They are going tomorrow.,
29,چھوَئی,čhuí,n,"night, darkness",1,چھویو بیری مو کوسے۔,Don't wander around outside at night.,
29,چھیَنیک,čhiník,vt,to cut,1,اوغو کا چھینیتاے؟,Who cut off the water?,
29,ݯار,c̣ár,adj,"dry, dehydrated",1,کٹوری ݯار بیتی شینی۔,The dried mulberries are completely dehydrated.,
30,ݯاغڑی,c̣aáγɫí,n,rook (bird),1,ݯاغڑیئے ݯاغ مو کورے۔ اوا بیابانہ اسوم۔,"O rook, don't sing; I am wandering in the wilderness.",
30,ݯاو,č̣aʋ,n,"rank, status, office, position",1,ݯاو نو شیرو روے کیاغ کوریکو نو بوے۔,A person with no status can't do anything.,
30,ݯتلَوڑیک,c̣at loɫík,vt,to take a quick look/glance,1,ݯت لوڑی مت لو دیت۔,Take a look and tell me.,
30,ݯکَھیئک,c̣akhéik,vt,to chew,1,څیق لوسی پالم ݯکھاوے۔,Take small bites and chew well.,
30,ݯوچھیک,c̣očhík,vt,to gnaw,1,رینی کوڑو نہ تان ݯچھیر نہ خوروت دوے۔,The dog neither gnaws the bone itself nor gives it to anyone else.,
30,ݯوََݯھَو,c̣uc̣hú,adj,dry,1,زپ ݯوݯھو نو بیتی شینی۔,The clothes haven't dried.,
30,ݯوقھیک,c̣oqhík,vi,1) to coo; (2) to flatter,1,کَوڑو ݯوقھیران۔,The partridge is cooing.,
30,ݯوقھیک,c̣oqhík,vi,1) to coo; (2) to flatter,2,خور دی  کا بو ݯوقھینیان۔,Many other people are also flattering.,
30,ݯوکیک,c̣okík,vi,"1) to adhere to, become fixed; (2) to be on fire",1,پھوردو ݯوکیتانی۔,The plants have taken root.,
30,ݯوکیک,c̣okík,vi,"1) to adhere to, become fixed; (2) to be on fire",2,دور ݯوکی شیر۔,The house is on fire.,
30,ݯیَݯھیک,c̣ic̣hík,vt,to learn,1,ݯیݯھی اچی ݯیݯھاوے۔,First learn and then teach!,
30,ݯیَݯھیئک,c̣ic̣héik,vt,1) to teach; (2) to send a message,1,جَم ݯیݯھیئک بو مشکل۔,It is very hard to teach well.,
30,ݯیَݯھیئک,c̣ic̣héik,vt,1) to teach; (2) to send a message,2,کوس پویار مت ݯیݯھاوے۔,Send me a message through someone.,
31,ݯیریک,c̣irík,vi,"to cluck (hen, before laying egg)",1,کہاک ݯیریتاے۔,The hen clucked.,
31,ݯھمیئک,c̣haméik,vt,"to cause to pain, hurt",1,پختی مہ ݯھمیران۔,The rice is hurting my stomach.,
31,ݯھوتی,c̣hutí,n,"dry soil, dust, dirt",1,ݯھُوتی مو کتاوے۔,Don't stir up dirt.,
31,ݯھوتی,c̣hutí,n,"dry soil, dust, dirt",2,ݯھوتیو مُوڑی بغاے۔,He/she went under the soil.,
31,ݯھوتی,c̣hutí,n,"dry soil, dust, dirt",3,ݯھُوتی انگیتی کھانجو مانیتام۔,I brought soil and plastered the wall.,
31,ݯھوغ,c̣hoγ,n,thief,1,ݯھوغ دی خُداے ریر۔ خڅم دی خداے ریر۔,The thief calls on God; the owner also calls on God.,
31,ݯھومیک,c̣homík,vi,"to pain, hurt",1,ہنون مہ کپا لݯھمُوران۔,My head is hurting today.,
31,ݯھونݮور,c̣honj̣ór,n,slingshot,1,ݯھونݮورین بوئیک ماراوتانی۔,People used to kill birds with slingshots.,
31,ݯھونیک,c̣huník,vi,"to step, tread, put the foot down",1,توقہ ݯھونی اُشُوپیتاے۔,He/she stepped in the mud and slipped.,
31,ݯھوئی,c̣huí,n,hunger,1,ݯھُوئی کوری اوشوے۔ پختیو جم اویوتام۔,"I was hungry, so I ate a lot of rice.",
31,ݯھوے,c̣hoy,adj,six,1,ݯھوے بیشیر روپیہ گَنیتاے۔,He/she took Rs.120.,
31,ݯھیاک,c̣hayák,n,"sick person, patient",1,ݯھیاک کیہ حالا اسُور؟,How is the patient?,
32,ݯھیتر,c̣hétur,n,field,1,تہ ہیہ ݯھیتر جو چَکیے شیرا؟,Is this field of yours two chakorum?,
32,ݯھیر,c̣hír,n,milk,1,لیشُو ݯھیر نو دویان۔,The cow isn't giving milk.,
32,ݯھیو,c̣hyu,adj,overjoyed,1,ژاو اژیکو ݯھیو ہوتام۔,When my son was born I was overjoyed.,
32,حجُات,haját,n; adj,"need, necessity; necessary",1,گیر مہ حَجات بویان۔,I need a saw.,
32,حالت,halát,n,condition(s),1,حالت خراب شیر۔,The conditions are bad.,
32,حاوَل,háʋl,adv,"barely, slightly, just",1,تروپ حاول خَل بیتی شیر۔,The salt is barely tasteable.,
32,حق,haq,n,"right, entitlement",1,مہ حق ذائع ہوے۔,My right was lost.,
32,خڅَم,xátsum,n,"owner, one who nourishes",1,ہیہ پایو خَڅُم کا؟,Who is the owner of this goat?,
32,خبار,xabár,n,"news, information",1,کیہ خبار گَنی نو گیتی اسور۔,He/she hasn't brought any news.,
32,ختان,xatán,n,"room in a traditional Chitrali house The plural of this word,",2,خَتان کھُوشون کویان۔,The room makes smoke.,
32,ختان,xatán,n,"room in a traditional Chitrali house The plural of this word,",3,خَتومان ساوزیئی براروسار تنہا ہوے۔,He made a house and separated from his brother.,
32,خداے,xudáy,n,God,1,خداے پراے۔,God gave it to me.,
32,خراب,xaráb,adj,"bad, spoiled",1,مہ ریڈیو خراب بیتی شیر۔,My radio is broken.,
33,خروش,xarúš,n; adj,"itchy skin disease, mange (of goats); also used as term of abuse (cf. English 'mangy')",1,پاے خرُوش بیتی اسونی۔,The goats have become mangy.,
33,خڑَانگ,xaɫáng,n,quilt,1,خڑانگ چھویو مہ پیݯ نو اریر۔,The quilt didn't keep me warm at night.,
33,خڑاو,xaɫáʋ,n,mouse,1,خڑاو بُردوکیو ژُوتی بخ اسریر۔,A mouse gnawed a hole in the leather sack.,
33,خطبہ,xotbáh,n,"nikah, Muslim marriage ceremony",1,خطبہ بیکار پروشٹی ڈَق اوچے کُومورو ایغو نو پَشینی۔,"Before the nikah, the boy and the girl do not see each other.",
33,خفا,xafá,adj,"angry, annoyed; sad",1,لو کار نو کوریکو تت خفا بوے۔,"If you don't heed his words, father will be annoyed.",
33,خفس,xafás,n,cage,1,بوئیک خفسی اسونی۔,The birds are in a cage.,
33,خلاس,xalás,adj,finished,1,من پیݰیرو سوت بسہ خلاس ہوے۔,A maund of flour was finished in a week.,
33,خلتہ,xaltá,n,"sack, bag",1,جوش بٹی ژو ای خلتؤو بغاے۔,Ten batis of grain fit into one sack.,
33,خلتھبار,xalthabár,n,"family of son-in-law or daughter-in-law, who bring gifts on occasion of marriage",1,خلتھبار بولو نوما گونی۔,The party of in-laws has not yet arrived.,
33,خم,xam,adj,"flat, level",1,خم باے کم باے۔,Let it be level; let it be less.,
33,خمیئک,xaméik,vt,1) to cause to come down; (2) to beat; (3) to cause someone to spend (i.e. cause them a loss),1,ݯھوغو دوسی ای کما خمیتام۔,I caught the thief and hit him a few times.,
33,خمیئک,xaméik,vt,1) to cause to come down; (2) to beat; (3) to cause someone to spend (i.e. cause them a loss),2,بو رویان گَنی بَی توغو جم خَمیتام۔,I took a lot of people along and caused him a lot of loss.,
34,خور,xur,adj,"other; else; n another one, someone else",1,خور دی کیہ لو دوسانا؟,Do you want to say something else?,
34,خورا,xorá,n,water mill,1,لالو خورائی کیہ شیر؟,What does a lal have to do in a water-mill?,
